pipeline_id,split,perturbation,perturbation_family,perturbation_level,case_count,auto_pass_rate,mean_monotonic_fraction,mean_violation_count,mean_spearman_rho,mean_expected_span,mean_max_unmasked_delta,mean_mask_area_fraction,s_order,s_qa,e_crit,fragility_balanced,archived_comparator,contact_sheet
P4_sparse4_ridge,test,target_noise_low,target_noise,low,4,1.0,1.0,0.0,0.9999999999999999,5.352876633405685,0.005969254395531427,0.5163443684577942,1.0,1.0,0.0,0.0,,
P2_diffusion_archived_exp06,test,target_noise_low,target_noise,low,4,0.0,0.5,,0.0,3.554634243249893,0.03180583831778457,,0.5,0.4,1.0,0.64,True,
P1_proxy,test,brightness_up_low,brightness,low,4,0.75,0.9375,0.25,0.9749999999999999,5.369904339313507,0.006068339654146919,0.5163443684577942,0.9525,0.95,0.0,0.039000000000000014,,
P3_sparse2_ridge,test,brightness_up_low,brightness,low,4,1.0,1.0,0.0,0.9999999999999999,5.357261031866074,0.00607736072359613,0.5163443684577942,1.0,1.0,0.0,0.0,,
P4_sparse4_ridge,test,brightness_up_low,brightness,low,4,1.0,1.0,0.0,0.9999999999999999,5.357134997844696,0.006084672671221306,0.5163443684577942,1.0,1.0,0.0,0.0,,
P2_diffusion_archived_exp06,test,brightness_up_low,brightness,low,4,0.0,0.5,,0.0,3.554634243249893,0.03180583831778457,,0.5,0.4,1.0,0.64,True,
P1_proxy,test,brightness_down_low,brightness,low,4,0.75,0.9375,0.25,0.9749999999999999,5.376486897468567,0.005898694349670551,0.5163443684577942,0.9525,0.95,0.0,0.039000000000000014,,
P3_sparse2_ridge,test,brightness_down_low,brightness,low,4,1.0,1.0,0.0,0.9999999999999999,5.364990651607513,0.0059466682647775874,0.5163443684577942,1.0,1.0,0.0,0.0,,
P4_sparse4_ridge,test,brightness_down_low,brightness,low,4,1.0,1.0,0.0,0.9999999999999999,5.364820182323456,0.005946993047668568,0.5163443684577942,1.0,1.0,0.0,0.0,,
P2_diffusion_archived_exp06,test,brightness_down_low,brightness,low,4,0.0,0.5,,0.0,3.554634243249893,0.03180583831778457,,0.5,0.4,1.0,0.64,True,
P1_proxy,test,contrast_up_low,contrast,low,4,0.75,0.9375,0.25,0.9749999999999999,5.361786395311356,0.006110785761240132,0.5163443684577942,0.9525,0.95,0.0,0.039000000000000014,,
P3_sparse2_ridge,test,contrast_up_low,contrast,low,4,0.75,0.9375,0.25,0.9749999999999999,5.348509222269058,0.006134704480688714,0.5163443684577942,0.9525,0.95,0.0,0.039000000000000014,,
P4_sparse4_ridge,test,contrast_up_low,contrast,low,4,0.75,0.9375,0.25,0.9749999999999999,5.348254710435867,0.006136771280904053,0.5163443684577942,0.9525,0.95,0.0,0.039000000000000014,,
